ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
ace-Ritchie-2019-110-94-1,,ace,Ritchie-2019-110-94,sikureuëng plôh lhèë,sikureuëng plôh lhèë,,,Ritchie2019,,
ace-Ritchie-2019-110-95-1,,ace,Ritchie-2019-110-95,sikureuëng plôh peuët,sikureuëng plôh peuët,,,Ritchie2019,,
ace-Ritchie-2019-110-96-1,,ace,Ritchie-2019-110-96,sikureuëng plôh limong,sikureuëng plôh limong,,,Ritchie2019,,
ace-Ritchie-2019-110-97-1,,ace,Ritchie-2019-110-97,sikureuëng plôh nam,sikureuëng plôh nam,,,Ritchie2019,,
ace-Ritchie-2019-110-98-1,,ace,Ritchie-2019-110-98,sikureuëng plôh tujôh,sikureuëng plôh tujôh,,,Ritchie2019,,
ace-Ritchie-2019-110-99-1,,ace,Ritchie-2019-110-99,sikureuëng plôh lapan,sikureuëng plôh lapan,,,Ritchie2019,,
ace-Ritchie-2019-110-100-1,,ace,Ritchie-2019-110-100,sikureuëng plôh sikureuëng,sikureuëng plôh sikureuëng,,,Ritchie2019,,
ace-Ritchie-2019-110-101-1,,ace,Ritchie-2019-110-101,si reutôh,si reutôh,,,Ritchie2019,,
ace-Ritchie-2019-110-102-1,,ace,Ritchie-2019-110-102,si ribèë,si ribèë,,,Ritchie2019,,
ace-Ritchie-2019-110-103-1,,ace,Ritchie-2019-110-103,si plôh ribèë,si plôh ribèë,,,Ritchie2019,,
ace-Ritchie-2019-110-104-1,,ace,Ritchie-2019-110-104,si reutôh ribèë,si reutôh ribèë,,,Ritchie2019,,
ace-Ritchie-2019-110-105-1,,ace,Ritchie-2019-110-105,si yuta,si yuta,,,Ritchie2019,,
ace-Ritchie-2019-110-106-1,,ace,Ritchie-2019-110-106,si plôh yuta,si plôh yuta,,,Ritchie2019,,
ace-Ritchie-2019-110-107-1,,ace,Ritchie-2019-110-107,si reutôh yuta,si reutôh yuta,,,Ritchie2019,,
ace-Ritchie-2019-110-108-1,,ace,Ritchie-2019-110-108,saboh miliar,saboh miliar,,,Ritchie2019,,
ace-Ritchie-2019-110-109-1,,ace,Ritchie-2019-110-109,si plôh miliar,si plôh miliar,,,Ritchie2019,,
ace-Ritchie-2019-110-110-1,,ace,Ritchie-2019-110-110,si reutôh miliar,si reutôh miliar,,,Ritchie2019,,
afr-Ritchie-2019-110-1-1,,afr,Ritchie-2019-110-1,nul,nul,,,Ritchie2019,,
afr-Ritchie-2019-110-2-1,,afr,Ritchie-2019-110-2,een,een,,,Ritchie2019,,
afr-Ritchie-2019-110-3-1,,afr,Ritchie-2019-110-3,twee,twee,,,Ritchie2019,,
afr-Ritchie-2019-110-4-1,,afr,Ritchie-2019-110-4,drie,drie,,,Ritchie2019,,
afr-Ritchie-2019-110-5-1,,afr,Ritchie-2019-110-5,vier,vier,,,Ritchie2019,,
afr-Ritchie-2019-110-6-1,,afr,Ritchie-2019-110-6,vyf,vyf,,,Ritchie2019,,
afr-Ritchie-2019-110-7-1,,afr,Ritchie-2019-110-7,ses,ses,,,Ritchie2019,,
afr-Ritchie-2019-110-8-1,,afr,Ritchie-2019-110-8,sewe,sewe,,,Ritchie2019,,
afr-Ritchie-2019-110-9-1,,afr,Ritchie-2019-110-9,agt,agt,,,Ritchie2019,,
afr-Ritchie-2019-110-10-1,,afr,Ritchie-2019-110-10,nege,nege,,,Ritchie2019,,
afr-Ritchie-2019-110-11-1,,afr,Ritchie-2019-110-11,tien,tien,,,Ritchie2019,,
afr-Ritchie-2019-110-12-1,,afr,Ritchie-2019-110-12,elf,elf,,,Ritchie2019,,
afr-Ritchie-2019-110-13-1,,afr,Ritchie-2019-110-13,twaalf,twaalf,,,Ritchie2019,,
afr-Ritchie-2019-110-14-1,,afr,Ritchie-2019-110-14,dertien,dertien,,,Ritchie2019,,
afr-Ritchie-2019-110-15-1,,afr,Ritchie-2019-110-15,veertien,veertien,,,Ritchie2019,,
afr-Ritchie-2019-110-16-1,,afr,Ritchie-2019-110-16,vyftien,vyftien,,,Ritchie2019,,
afr-Ritchie-2019-110-17-1,,afr,Ritchie-2019-110-17,sestien,sestien,,,Ritchie2019,,
afr-Ritchie-2019-110-18-1,,afr,Ritchie-2019-110-18,sewentien,sewentien,,,Ritchie2019,,
afr-Ritchie-2019-110-19-1,,afr,Ritchie-2019-110-19,agtien,agtien,,,Ritchie2019,,
afr-Ritchie-2019-110-20-1,,afr,Ritchie-2019-110-20,negentien,negentien,,,Ritchie2019,,
afr-Ritchie-2019-110-21-1,,afr,Ritchie-2019-110-21,twintig,twintig,,,Ritchie2019,,
afr-Ritchie-2019-110-22-1,,afr,Ritchie-2019-110-22,een en twintig,een en twintig,,,Ritchie2019,,
afr-Ritchie-2019-110-23-1,,afr,Ritchie-2019-110-23,twee en twintig,twee en twintig,,,Ritchie2019,,
afr-Ritchie-2019-110-24-1,,afr,Ritchie-2019-110-24,drie en twintig,drie en twintig,,,Ritchie2019,,
afr-Ritchie-2019-110-25-1,,afr,Ritchie-2019-110-25,vier en twintig,vier en twintig,,,Ritchie2019,,
afr-Ritchie-2019-110-26-1,,afr,Ritchie-2019-110-26,vyf en twintig,vyf en twintig,,,Ritchie2019,,
afr-Ritchie-2019-110-27-1,,afr,Ritchie-2019-110-27,ses en twintig,ses en twintig,,,Ritchie2019,,
afr-Ritchie-2019-110-28-1,,afr,Ritchie-2019-110-28,sewe en twintig,sewe en twintig,,,Ritchie2019,,
afr-Ritchie-2019-110-29-1,,afr,Ritchie-2019-110-29,agt en twintig,agt en twintig,,,Ritchie2019,,
afr-Ritchie-2019-110-30-1,,afr,Ritchie-2019-110-30,nege en twintig,nege en twintig,,,Ritchie2019,,
afr-Ritchie-2019-110-31-1,,afr,Ritchie-2019-110-31,dertig,dertig,,,Ritchie2019,,
afr-Ritchie-2019-110-32-1,,afr,Ritchie-2019-110-32,een en dertig,een en dertig,,,Ritchie2019,,
afr-Ritchie-2019-110-33-1,,afr,Ritchie-2019-110-33,twee en dertig,twee en dertig,,,Ritchie2019,,
afr-Ritchie-2019-110-34-1,,afr,Ritchie-2019-110-34,drie en dertig,drie en dertig,,,Ritchie2019,,
afr-Ritchie-2019-110-35-1,,afr,Ritchie-2019-110-35,vier en dertig,vier en dertig,,,Ritchie2019,,
afr-Ritchie-2019-110-36-1,,afr,Ritchie-2019-110-36,vyf en dertig,vyf en dertig,,,Ritchie2019,,
afr-Ritchie-2019-110-37-1,,afr,Ritchie-2019-110-37,ses en dertig,ses en dertig,,,Ritchie2019,,
afr-Ritchie-2019-110-38-1,,afr,Ritchie-2019-110-38,sewe en dertig,sewe en dertig,,,Ritchie2019,,
afr-Ritchie-2019-110-39-1,,afr,Ritchie-2019-110-39,agt en dertig,agt en dertig,,,Ritchie2019,,
afr-Ritchie-2019-110-40-1,,afr,Ritchie-2019-110-40,nege en dertig,nege en dertig,,,Ritchie2019,,
afr-Ritchie-2019-110-41-1,,afr,Ritchie-2019-110-41,veertig,veertig,,,Ritchie2019,,
afr-Ritchie-2019-110-42-1,,afr,Ritchie-2019-110-42,een en veertig,een en veertig,,,Ritchie2019,,
afr-Ritchie-2019-110-43-1,,afr,Ritchie-2019-110-43,twee en veertig,twee en veertig,,,Ritchie2019,,
afr-Ritchie-2019-110-44-1,,afr,Ritchie-2019-110-44,drie en veertig,drie en veertig,,,Ritchie2019,,
afr-Ritchie-2019-110-45-1,,afr,Ritchie-2019-110-45,vier en veertig,vier en veertig,,,Ritchie2019,,
afr-Ritchie-2019-110-46-1,,afr,Ritchie-2019-110-46,vyf en veertig,vyf en veertig,,,Ritchie2019,,
afr-Ritchie-2019-110-47-1,,afr,Ritchie-2019-110-47,ses en veertig,ses en veertig,,,Ritchie2019,,
afr-Ritchie-2019-110-48-1,,afr,Ritchie-2019-110-48,sewe en veertig,sewe en veertig,,,Ritchie2019,,
afr-Ritchie-2019-110-49-1,,afr,Ritchie-2019-110-49,agt en veertig,agt en veertig,,,Ritchie2019,,
afr-Ritchie-2019-110-50-1,,afr,Ritchie-2019-110-50,nege en veertig,nege en veertig,,,Ritchie2019,,
afr-Ritchie-2019-110-51-1,,afr,Ritchie-2019-110-51,vyftig,vyftig,,,Ritchie2019,,
afr-Ritchie-2019-110-52-1,,afr,Ritchie-2019-110-52,een en vyftig,een en vyftig,,,Ritchie2019,,
afr-Ritchie-2019-110-53-1,,afr,Ritchie-2019-110-53,twee en vyftig,twee en vyftig,,,Ritchie2019,,
afr-Ritchie-2019-110-54-1,,afr,Ritchie-2019-110-54,drie en vyftig,drie en vyftig,,,Ritchie2019,,
afr-Ritchie-2019-110-55-1,,afr,Ritchie-2019-110-55,vier en vyftig,vier en vyftig,,,Ritchie2019,,
afr-Ritchie-2019-110-56-1,,afr,Ritchie-2019-110-56,vyf en vyftig,vyf en vyftig,,,Ritchie2019,,
afr-Ritchie-2019-110-57-1,,afr,Ritchie-2019-110-57,ses en vyftig,ses en vyftig,,,Ritchie2019,,
afr-Ritchie-2019-110-58-1,,afr,Ritchie-2019-110-58,sewe en vyftig,sewe en vyftig,,,Ritchie2019,,
afr-Ritchie-2019-110-59-1,,afr,Ritchie-2019-110-59,agt en vyftig,agt en vyftig,,,Ritchie2019,,
afr-Ritchie-2019-110-60-1,,afr,Ritchie-2019-110-60,nege en vyftig,nege en vyftig,,,Ritchie2019,,
afr-Ritchie-2019-110-61-1,,afr,Ritchie-2019-110-61,sestig,sestig,,,Ritchie2019,,
afr-Ritchie-2019-110-62-1,,afr,Ritchie-2019-110-62,een en sestig,een en sestig,,,Ritchie2019,,
afr-Ritchie-2019-110-63-1,,afr,Ritchie-2019-110-63,twee en sestig,twee en sestig,,,Ritchie2019,,
afr-Ritchie-2019-110-64-1,,afr,Ritchie-2019-110-64,drie en sestig,drie en sestig,,,Ritchie2019,,
afr-Ritchie-2019-110-65-1,,afr,Ritchie-2019-110-65,vier en sestig,vier en sestig,,,Ritchie2019,,
afr-Ritchie-2019-110-66-1,,afr,Ritchie-2019-110-66,vyf en sestig,vyf en sestig,,,Ritchie2019,,
afr-Ritchie-2019-110-67-1,,afr,Ritchie-2019-110-67,ses en sestig,ses en sestig,,,Ritchie2019,,
afr-Ritchie-2019-110-68-1,,afr,Ritchie-2019-110-68,sewe en sestig,sewe en sestig,,,Ritchie2019,,
afr-Ritchie-2019-110-69-1,,afr,Ritchie-2019-110-69,agt en sestig,agt en sestig,,,Ritchie2019,,
afr-Ritchie-2019-110-70-1,,afr,Ritchie-2019-110-70,nege en sestig,nege en sestig,,,Ritchie2019,,
afr-Ritchie-2019-110-71-1,,afr,Ritchie-2019-110-71,sewentig,sewentig,,,Ritchie2019,,
afr-Ritchie-2019-110-72-1,,afr,Ritchie-2019-110-72,een en sewentig,een en sewentig,,,Ritchie2019,,
afr-Ritchie-2019-110-73-1,,afr,Ritchie-2019-110-73,twee en sewentig,twee en sewentig,,,Ritchie2019,,
afr-Ritchie-2019-110-74-1,,afr,Ritchie-2019-110-74,drie en sewentig,drie en sewentig,,,Ritchie2019,,
afr-Ritchie-2019-110-75-1,,afr,Ritchie-2019-110-75,vier en sewentig,vier en sewentig,,,Ritchie2019,,
afr-Ritchie-2019-110-76-1,,afr,Ritchie-2019-110-76,vyf en sewentig,vyf en sewentig,,,Ritchie2019,,
afr-Ritchie-2019-110-77-1,,afr,Ritchie-2019-110-77,ses en sewentig,ses en sewentig,,,Ritchie2019,,
afr-Ritchie-2019-110-78-1,,afr,Ritchie-2019-110-78,sewe en sewentig,sewe en sewentig,,,Ritchie2019,,
afr-Ritchie-2019-110-79-1,,afr,Ritchie-2019-110-79,agt en sewentig,agt en sewentig,,,Ritchie2019,,
afr-Ritchie-2019-110-80-1,,afr,Ritchie-2019-110-80,nege en sewentig,nege en sewentig,,,Ritchie2019,,
